Job ID,Megha Job Completion Time,Sparrow Job Completion Time,Ideal Job Completion Time
276,1472849.0095000016,1482995.0084999995,1472846.02
277,1473141.0035000006,1478314.0104999994,1473129.03
278,1473129.0075000012,1485949.0064999997,1473129.0
279,1473108.0195000016,1478644.0094999997,1473020.01
280,1472895.0035000006,1478034.0104999994,1472870.0
281,1472968.0075000012,1478260.0064999997,1472963.0
282,1472852.0035000006,1483343.0054999995,1472842.0
283,1472975.0035000006,1478267.0074999996,1472962.0
284,1473096.015500001,1477976.0124999993,1472962.0
285,1473152.0035000006,1475194.0044999998,1473152.0
286,1473485.0035000006,1483505.0084999995,1473482.01
287,1472922.011500002,1474383.0054999995,1472915.02
288,1472998.0035000006,1476479.0094999997,1472986.03
289,1482944.0215000035,1478635.0134999992,1473481.0
290,1472942.0095000016,1476031.0084999995,1472942.0
291,1472943.0095000016,1478278.0134999992,1472937.0
292,1472950.015500001,1474936.0154999995,1472949.0
293,1472957.0095000016,1476190.0074999996,1472953.0
294,1472950.0095000016,1474304.0164999997,1472950.0
295,1472966.0075000012,1475372.0064999997,1472966.0
296,1473246.0035000006,1476922.0094999997,1473244.01
297,1474320.0035000006,1474317.0215,1474317.02
298,1473392.011500002,1477759.0064999997,1473387.03
299,1473119.011500002,1476067.0084999995,1473113.04
300,1473081.0175000012,1478615.0084999995,1473073.05
301,1473729.0075000012,1478210.0084999995,1473132.0
302,1473398.0035000006,1486394.0104999994,1473398.0
303,1473649.0095000016,1483476.0134999992,1473648.0
304,1473073.005500001,1474333.0344999998,1473073.0
305,1473077.0035000006,1473687.0035,1473071.0
306,1473016.0075000012,1473013.0015,1473013.0
307,1473143.0035000006,1478191.0104999994,1473138.0
308,1473389.0095000016,1474185.0054999995,1473385.0
309,1473387.0095000016,1479799.0064999997,1473387.0
310,1473429.0135000006,1478001.0104999994,1473386.0
311,1473063.011500002,1473634.0044999998,1473059.0
312,1473028.0095000016,1473947.0044999998,1473023.01
313,1473571.0035000006,1474846.0054999995,1473566.0
314,1473396.0095000016,1484481.0084999995,1473383.01
315,1473119.0035000006,1478131.0104999994,1473110.0
316,1473064.0175000012,1475587.0074999996,1473058.0
317,1473066.011500002,1477546.0134999992,1473057.0
318,1473066.0035000006,1485942.0364999997,1473057.0
319,1473060.0075000012,1474178.0064999997,1473058.0
320,1473051.0075000012,1485995.0074999996,1473049.01
321,1473287.0095000016,1473260.0215,1473260.02
