,,Average Number of Workers Searched,Average Number of Workers Searched,
Original,
,1000,1835.3573218965153,1835.3573218965153,
,10000,593.785763114634,593.785763114634,

Separation,
,1000,1.197325802828822,1.197325802828822,
,10000,1.0024333078337864,1.0024333078337864,

Ordering_L_M,
,1000,1.291712104689204,1.291712104689204,
,10000,1.001529972818568,1.001529972818568,

Ordering_M_L,
,1000,1.2812789921710965,1.2812789921710965,
,10000,1.0227461384462637,1.0227461384462637,

Ordering_L_L,
,1000,1.2821823271863149,1.2821823271863149,
,10000,1.0257572551636582,1.0257572551636582,

Ordering_M_M,
,1000,1.273775614837481,1.273775614837481,
,10000,1.0020182620159834,1.0020182620159834,

