Job ID,Megha Job Completion Time,Sparrow Job Completion Time,Ideal Job Completion Time
1,34.528,34.5285,34.527
2,32.093,32.0935,32.092
3,57.651,57.6515,57.65
4,32.004999999999995,32.0055,32.004000000000005
5,66.426,66.4265,66.425
6,70.84700000000002,70.8475,70.846
7,106.165,106.16550000000001,106.16399999999999
8,79.65700000000002,79.6575,79.656
9,119.08,119.0805,119.079
10,84.574,84.5745,84.57300000000001
11,84.071,84.0715,84.07
12,89.552,89.55250000000002,89.551
13,103.027,103.0275,103.02600000000001
14,246.53799999999998,246.5385,246.537
15,118.936,118.9365,118.935
16,594.427,594.4275,594.426
17,138.90200000000002,138.9025,138.901
18,634.498,634.4985,634.4970000000001
19,160.89199999999997,160.89249999999996,160.891
20,169.33799999999997,169.33849999999995,169.33700000000002
21,171.801,171.8015,171.8
22,192.459,192.4595,192.458
23,215.84,215.8405,215.83900000000003
24,226.236,226.2365,226.235
25,216.646,216.6465,216.645
26,220.102,220.1025,220.101
27,232.668,232.6685,232.667
28,218.188,218.1885,218.187
29,248.678,248.6785,248.67700000000002
30,462.222,462.22249999999997,462.221
31,247.577,247.5775,247.576
32,297.98299999999995,297.9835,297.98199999999997
33,281.46399999999994,281.4645,281.46299999999997
34,255.071,255.0715,255.07
35,283.724,283.7245,283.723
36,275.135,275.1355,275.134
37,304.582,304.5825,304.58099999999996
38,361.276,361.27649999999994,361.275
39,339.852,339.8525,339.851
40,317.34099999999995,317.34149999999994,317.34
41,312.827,312.8275,312.82599999999996
42,642.222,642.2225000000001,642.221
43,352.71599999999995,352.71649999999994,352.715
44,361.177,361.1774999999999,361.176
45,343.593,343.59349999999995,343.592
46,365.242,365.24249999999995,365.241
47,353.7399999999999,353.74049999999994,353.73900000000003
48,399.13300000000004,399.1335,399.13199999999995
49,372.56,372.5605,372.559
50,385.125,385.1255,385.124
51,439.471,439.4715,439.47
52,418.981,418.9815,418.98
53,496.455,496.4555,496.454
54,450.022,450.0225,450.02099999999996
55,418.559,418.5595,418.55800000000005
56,438.099,438.0995,438.098
57,479.707,479.7075,479.70599999999996
58,517.2439999999998,517.2445,517.243
59,619.7040000000001,619.7045,619.703
60,456.115,456.1155,456.11400000000003
61,555.576,555.5765,555.575
62,470.10400000000004,470.1045,470.103
63,484.593,484.5935,484.592
64,506.225,506.2255,506.224
65,494.713,494.7135,494.712
66,505.165,505.1655,505.164
67,504.58,504.5805,504.579
68,524.058,524.0585,524.057
69,519.515,519.5155,519.514
70,546.8829999999998,546.8834999999998,546.882
71,591.511,591.5115,591.51
72,544.8389999999998,544.8394999999998,544.8380000000001
73,569.154,569.1545,569.153
74,573.4979999999998,573.4984999999998,573.497
75,562.9499999999998,562.9504999999998,562.9490000000001
76,603.4630000000001,603.4635,603.462
77,587.903,587.9035,587.9019999999999
78,602.5609999999998,602.5614999999998,602.56
79,601.057,601.0575,601.056
80,609.567,609.5675,609.566
81,626.86,626.8605,626.859
82,647.419,647.4195,647.418
83,623.922,623.9225,623.9209999999999
84,631.438,631.4385,631.437
85,641.855,641.8555,641.854
86,651.384,651.3845,651.383
87,657.99,657.9905,657.989
88,675.3530000000001,675.3534999999998,675.352
89,697.677,697.6775,697.676
90,763.071,763.0715,763.07
91,696.568,696.5685,696.567
92,708.079,708.0794999999998,708.078
93,713.5749999999998,713.5754999999998,713.574
94,719.12,719.1205,719.1189999999999
95,712.8,712.8004999999998,712.799
96,721.345,721.3455,721.3439999999999
97,729.817,729.8175,729.816
98,3318.344,3318.3444999999997,3318.343
99,3977.896,3977.8965,3977.895
100,752.3939999999999,752.3945,752.393
101,842.882,842.8824999999998,842.8810000000001
102,768.322,768.3225,768.321
103,794.831,794.8315,794.83
104,841.3299999999998,841.3304999999998,841.329
105,799.6229999999998,799.6234999999998,799.622
106,799.1669999999999,799.1675,799.166
107,809.7289999999998,809.7294999999998,809.7280000000001
108,835.1030000000001,835.1034999999998,835.102
109,815.692,815.6925,815.691
110,834.067,834.0675,834.066
111,861.547,861.5475,861.546
112,844.028,844.0285,844.0269999999999
113,874.596,874.5965,874.595
114,950.194,950.1945,950.193
115,907.615,907.6155,907.6139999999999
116,949.174,949.1745,949.173
117,964.545,964.5455,964.544
118,902.14,902.1405,902.1389999999999
119,958.547,958.5475,958.546
120,1199.11,1199.1105,1199.109
121,906.662,906.6625,906.6610000000001
122,945.159,945.1595,945.158
123,932.457,932.4575,932.456
124,939.877,939.8775,939.8760000000001
125,965.385,965.3855,965.3839999999999
126,1037.848,1037.8485,1037.847
127,951.3530000000001,951.3535,951.352
128,968.8530000000001,968.8535,968.852
129,1002.288,1002.2885,1002.2869999999999
130,975.796,975.7965,975.795
131,1046.371,1046.3715,1046.37
132,1010.801,1010.8015,1010.8
133,1006.349,1006.3495,1006.3480000000001
134,1032.831,1032.8315,1032.83
135,1022.451,1022.4515,1022.45
136,1068.0510000000002,1068.0515,1068.05
137,1041.5110000000002,1041.5115,1041.51
138,1044.9210000000003,1044.9215000000004,1044.92
139,1047.361,1047.3615,1047.36
140,1094.7610000000002,1094.7615,1094.76
141,1112.321,1112.3215,1112.32
142,1079.9010000000003,1079.9015000000004,1079.9
143,1079.2710000000004,1079.2715,1079.27
144,1084.5310000000004,1084.5315,1084.53
145,1123.7510000000002,1123.7515,1123.75
146,1134.1510000000005,1134.1515000000004,1134.15
147,1123.7210000000002,1123.7215,1123.72
148,1107.2010000000002,1107.2015,1107.2
149,1150.6910000000005,1150.6915,1150.69
150,1186.081,1186.0815,1186.08
151,1160.621,1160.6215,1160.62
152,1200.2510000000002,1200.2515,1200.25
153,1147.831,1147.8315,1147.83
154,1157.5510000000004,1157.5515,1157.55
155,1187.0410000000004,1187.0415,1187.04
156,1214.5510000000004,1214.5515,1214.55
157,1181.9510000000002,1181.9515,1181.95
158,1498.4710000000002,1498.4715,1498.47
159,1199.9910000000002,1199.9915,1199.99
160,2694.4310000000005,2694.4314999999997,2694.4300000000003
161,1206.851,1206.8515,1206.85
162,1221.2110000000002,1221.2115,1221.21
163,1234.7310000000002,1234.7315,1234.73
164,1243.2310000000002,1243.2315,1243.23
165,1304.7710000000004,1304.7715,1304.77
166,1307.321,1307.3215,1307.32
167,1296.7810000000004,1296.7815,1296.78
168,1293.4810000000002,1293.4815,1293.48
169,1270.0510000000004,1270.0515,1270.05
170,1316.4210000000005,1316.4215000000004,1316.42
171,1314.831,1314.8315,1314.83
172,1302.2710000000004,1302.2715,1302.27
173,1370.851,1370.8515,1370.85
174,1318.371,1318.3715,1318.37
175,1338.7810000000004,1338.7815,1338.78
176,1366.061,1366.0615,1366.06
177,1338.571,1338.5715,1338.57
178,1373.0210000000004,1373.0215,1373.02
179,1367.6310000000005,1367.6315000000004,1367.63
180,1356.9910000000002,1356.9915,1356.99
