Job ID,Megha Centralised Job Completion Time,Megha Distributed Job Completion Time,Ideal Job Completion Time
1,367531.2015000001,367531.2015000001,367531.2
2,356223.60150000005,356223.60150000005,356223.6
3,330575.60150000005,330575.60150000005,330575.6
4,343415.60150000005,343415.60150000005,343415.6
5,335185.4015000001,335185.4015000001,335185.4
6,320034.80150000006,320034.80150000006,320034.8
7,319967.60150000005,319967.60150000005,319967.6
8,319960.80150000006,319960.80150000006,319960.8
9,319049.0015000001,319049.0015000001,319049.0
10,318515.0015000001,318515.0015000001,318515.0
11,318504.60150000005,318504.60150000005,318504.6
12,329000.80150000006,329000.80150000006,329000.8
13,328349.80150000006,328349.80150000006,328349.8
14,328058.2015000001,328058.2015000001,328058.2
15,315174.0015000001,315174.0015000001,315174.0
16,311909.0115000001,311909.0115000001,311909.01
17,333560.60150000005,333560.60150000005,333560.6
18,302409.60150000005,302409.60150000005,302409.6
19,307615.80150000006,307615.80150000006,307615.8
20,300021.4015000001,300021.4015000001,300021.4
21,304705.4115000001,304705.4115000001,304705.41000000003
22,299956.60150000005,299956.60150000005,299956.6
23,299955.0015000001,299955.0015000001,299955.0
24,299955.0115000001,299955.0115000001,299955.01
25,304636.0015000001,304636.0015000001,304636.0
26,314752.2015000001,314752.2015000001,314752.2
27,304635.2115000001,304635.2115000001,304635.21
28,302020.4015000001,302020.4015000001,302020.4
29,301757.80150000006,301757.80150000006,301757.8
30,301738.0015000001,301738.0015000001,301738.0
31,303955.0015000001,303955.0015000001,303955.0
32,303121.4015000001,303121.4015000001,303121.4
33,300187.80150000006,300187.80150000006,300187.8
34,300035.2015000001,300035.2015000001,300035.2
35,298204.80150000006,298204.80150000006,298204.8
36,300736.4015000001,300736.4015000001,300736.4
37,300590.4015000001,300590.4015000001,300590.4
38,300585.60150000005,300585.60150000005,300585.6
39,300568.60150000005,300568.60150000005,300568.6
40,297767.0015000001,297767.0015000001,297767.0
41,309461.80150000006,309461.80150000006,309461.8
42,309406.80150000006,309406.80150000006,309406.8
43,309304.0015000001,309304.0015000001,309304.0
44,309212.4015000001,309212.4015000001,309212.4
45,300279.2015000001,300279.2015000001,300279.2
46,297242.60150000005,297242.60150000005,297242.6
47,296951.0015000001,296951.0015000001,296951.0
48,297103.0015000001,297103.0015000001,297103.0
