Job ID,Megha Centralised Job Completion Time,Megha Distributed Job Completion Time,Ideal Job Completion Time,Megha Centralised Delay in Job Completion Time,Megha Distributed Delay in Job Completion Time
1,1492708.0015000002,1492708.0015000002,1492708.0,0.0015000002458691597,0.0015000002458691597
2,1495854.0015000002,1495854.0015000002,1495854.0,0.0015000002458691597,0.0015000002458691597
3,1476978.0015000002,1476978.0015000002,1476978.0,0.0015000002458691597,0.0015000002458691597
4,1490510.0015000002,1490510.0015000002,1490510.0,0.0015000002458691597,0.0015000002458691597
5,1487775.0015000002,1487775.0015000002,1487775.0,0.0015000002458691597,0.0015000002458691597
6,1477490.0015000002,1477490.0015000002,1477490.0,0.0015000002458691597,0.0015000002458691597
7,1477478.0015000002,1477478.0015000002,1477478.0,0.0015000002458691597,0.0015000002458691597
8,1477472.0015000002,1477472.0015000002,1477472.0,0.0015000002458691597,0.0015000002458691597
9,1478029.0015000002,1478029.0015000002,1478029.0,0.0015000002458691597,0.0015000002458691597
10,1478015.0015000002,1478015.0015000002,1478015.0,0.0015000002458691597,0.0015000002458691597
11,1478007.0015000002,1478007.0015000002,1478007.0,0.0015000002458691597,0.0015000002458691597
12,1489584.0015000002,1489584.0015000002,1489584.0,0.0015000002458691597,0.0015000002458691597
13,1489033.0015000002,1489033.0015000002,1489033.0,0.0015000002458691597,0.0015000002458691597
14,1488743.0015000002,1488743.0015000002,1488743.0,0.0015000002458691597,0.0015000002458691597
15,1479762.0015000002,1479762.0015000002,1479762.0,0.0015000002458691597,0.0015000002458691597
16,1476497.0115000005,1476497.0115000005,1476497.01,0.0015000004786998034,0.0015000004786998034
17,1499851.0015000002,1499851.0015000002,1499851.0,0.0015000002458691597,0.0015000002458691597
18,1472716.0015000002,1472716.0015000002,1472716.0,0.0015000002458691597,0.0015000002458691597
19,1479555.0015000002,1479555.0015000002,1479555.0,0.0015000002458691597,0.0015000002458691597
20,1472595.0015000002,1472595.0015000002,1472595.0,0.0015000002458691597,0.0015000002458691597
21,1477279.0115000005,1477279.0115000005,1477279.01,0.0015000004786998034,0.0015000004786998034
22,1472575.0015000002,1472575.0015000002,1472575.0,0.0015000002458691597,0.0015000002458691597
23,1472575.0015000002,1472575.0015000002,1472575.0,0.0015000002458691597,0.0015000002458691597
24,1472575.0115000005,1472575.0115000005,1472575.01,0.0015000004786998034,0.0015000004786998034
25,1477268.0015000002,1477268.0015000002,1477268.0,0.0015000002458691597,0.0015000002458691597
26,1487385.0015000002,1487385.0015000002,1487385.0,0.0015000002458691597,0.0015000002458691597
27,1477268.0115000005,1477268.0115000005,1477268.01,0.0015000004786998034,0.0015000004786998034
28,1474690.0015000002,1474690.0015000002,1474690.0,0.0015000002458691597,0.0015000002458691597
29,1474673.0015000002,1474673.0015000002,1474673.0,0.0015000002458691597,0.0015000002458691597
30,1474654.0015000002,1474654.0015000002,1474654.0,0.0015000002458691597,0.0015000002458691597
31,1476927.0015000002,1476927.0015000002,1476927.0,0.0015000002458691597,0.0015000002458691597
32,1476095.0015000002,1476095.0015000002,1476095.0,0.0015000002458691597,0.0015000002458691597
33,1473579.0015000002,1473579.0015000002,1473579.0,0.0015000002458691597,0.0015000002458691597
34,1473912.0015000002,1473912.0015000002,1473912.0,0.0015000002458691597,0.0015000002458691597
35,1472136.0015000002,1472136.0015000002,1472136.0,0.0015000002458691597,0.0015000002458691597
36,1474910.0015000002,1474910.0015000002,1474910.0,0.0015000002458691597,0.0015000002458691597
37,1474864.0015000002,1474864.0015000002,1474864.0,0.0015000002458691597,0.0015000002458691597
38,1474864.0015000002,1474864.0015000002,1474864.0,0.0015000002458691597,0.0015000002458691597
39,1474863.0015000002,1474863.0015000002,1474863.0,0.0015000002458691597,0.0015000002458691597
40,1472427.0015000002,1472427.0015000002,1472427.0,0.0015000002458691597,0.0015000002458691597
41,1484417.0015000002,1484417.0015000002,1484417.0,0.0015000002458691597,0.0015000002458691597
42,1484402.0015000002,1484402.0015000002,1484402.0,0.0015000002458691597,0.0015000002458691597
43,1484300.0015000002,1484300.0015000002,1484300.0,0.0015000002458691597,0.0015000002458691597
44,1484210.0015000002,1484210.0015000002,1484210.0,0.0015000002458691597,0.0015000002458691597
45,1475428.0015000002,1475428.0015000002,1475428.0,0.0015000002458691597,0.0015000002458691597
46,1472573.0015000002,1472573.0015000002,1472573.0,0.0015000002458691597,0.0015000002458691597
47,1472283.0015000002,1472283.0015000002,1472283.0,0.0015000002458691597,0.0015000002458691597
48,1472487.0015000002,1472487.0015000002,1472487.0,0.0015000002458691597,0.0015000002458691597
49,1472448.0015000002,1472448.0015000002,1472448.0,0.0015000002458691597,0.0015000002458691597
50,1472439.0015000002,1472439.0015000002,1472439.0,0.0015000002458691597,0.0015000002458691597
51,1473085.0015000002,1473085.0015000002,1473085.0,0.0015000002458691597,0.0015000002458691597
52,1499876.0015000002,1499876.0015000002,1499876.0,0.0015000002458691597,0.0015000002458691597
53,1479129.0015000002,1479129.0015000002,1479129.0,0.0015000002458691597,0.0015000002458691597
54,1472331.0015000002,1472331.0015000002,1472331.0,0.0015000002458691597,0.0015000002458691597
55,1473059.0015000002,1473059.0015000002,1473059.0,0.0015000002458691597,0.0015000002458691597
56,1472717.0015000002,1472717.0015000002,1472717.0,0.0015000002458691597,0.0015000002458691597
57,1478853.0015000002,1478853.0015000002,1478853.0,0.0015000002458691597,0.0015000002458691597
58,1472618.0015000002,1472618.0015000002,1472618.0,0.0015000002458691597,0.0015000002458691597
59,1473649.0015000002,1473649.0015000002,1473649.0,0.0015000002458691597,0.0015000002458691597
