Job ID,Megha Job Completion Time,Sparrow Job Completion Time,Ideal Job Completion Time,Megha Delay in Job Completion Time,Sparrow Delay in Job Completion Time
1,367531.2015000001,367531.2015,367531.2,0.001500000071246177,0.001500000013038516
2,356223.60150000005,356223.6015,356223.6,0.001500000071246177,0.001500000013038516
3,330575.60150000005,330575.6015,330575.6,0.001500000071246177,0.001500000013038516
4,343415.60150000005,343415.6015,343415.6,0.001500000071246177,0.001500000013038516
5,335185.4015000001,335185.40150000004,335185.4,0.001500000071246177,0.001500000013038516
6,320034.80150000006,320034.8015,320034.8,0.001500000071246177,0.001500000013038516
7,319967.60150000005,319967.6015,319967.6,0.001500000071246177,0.001500000013038516
8,319960.80150000006,319960.8015,319960.8,0.001500000071246177,0.001500000013038516
9,319049.0015000001,319049.0015,319049.0,0.001500000071246177,0.001500000013038516
10,318515.0015000001,318515.0015,318515.0,0.001500000071246177,0.001500000013038516
11,318504.60150000005,318504.6015,318504.6,0.001500000071246177,0.001500000013038516
12,329000.80150000006,329000.8015,329000.8,0.001500000071246177,0.001500000013038516
13,328349.80150000006,328349.8015,328349.8,0.001500000071246177,0.001500000013038516
14,328058.2015000001,328058.2015,328058.2,0.001500000071246177,0.001500000013038516
15,315174.0015000001,315174.0015,315174.0,0.001500000071246177,0.001500000013038516
16,311909.0115000001,311909.0115,311909.01,0.001500000071246177,0.001500000013038516
17,333560.60150000005,333560.6015,333560.6,0.001500000071246177,0.001500000013038516
18,302409.60150000005,302409.6015,302409.6,0.001500000071246177,0.001500000013038516
19,307615.80150000006,307615.8015,307615.8,0.001500000071246177,0.001500000013038516
20,300021.4015000001,300021.40150000004,300021.4,0.001500000071246177,0.001500000013038516
21,304705.4115000001,304705.41150000005,304705.41000000003,0.001500000071246177,0.001500000013038516
22,299956.60150000005,299956.6015,299956.6,0.001500000071246177,0.001500000013038516
23,299955.0015000001,299955.0015,299955.0,0.001500000071246177,0.001500000013038516
24,299955.0115000001,299955.0115,299955.01,0.001500000071246177,0.001500000013038516
25,304636.0015000001,304636.0015,304636.0,0.001500000071246177,0.001500000013038516
26,314752.2015000001,314752.2015,314752.2,0.001500000071246177,0.001500000013038516
27,304635.2115000001,304635.21150000003,304635.21,0.001500000071246177,0.001500000013038516
28,302020.4015000001,302020.40150000004,302020.4,0.001500000071246177,0.001500000013038516
29,301757.80150000006,301757.8015,301757.8,0.001500000071246177,0.001500000013038516
30,301738.0015000001,301738.0015,301738.0,0.001500000071246177,0.001500000013038516
31,303955.0015000001,303955.0015,303955.0,0.001500000071246177,0.001500000013038516
32,303121.4015000001,303121.40150000004,303121.4,0.001500000071246177,0.001500000013038516
33,300187.80150000006,300187.8015,300187.8,0.001500000071246177,0.001500000013038516
34,300035.2015000001,300035.2015,300035.2,0.001500000071246177,0.001500000013038516
35,298204.80150000006,298204.8015,298204.8,0.001500000071246177,0.001500000013038516
36,300736.4015000001,300736.40150000004,300736.4,0.001500000071246177,0.001500000013038516
37,300590.4015000001,300590.40150000004,300590.4,0.001500000071246177,0.001500000013038516
38,300585.60150000005,300585.6015,300585.6,0.001500000071246177,0.001500000013038516
39,300568.60150000005,300568.6015,300568.6,0.001500000071246177,0.001500000013038516
40,297767.0015000001,297767.0015,297767.0,0.001500000071246177,0.001500000013038516
41,309461.80150000006,309461.8015,309461.8,0.001500000071246177,0.001500000013038516
42,309406.80150000006,309406.8015,309406.8,0.001500000071246177,0.001500000013038516
43,309304.0015000001,309304.0015,309304.0,0.001500000071246177,0.001500000013038516
44,309212.4015000001,309212.40150000004,309212.4,0.001500000071246177,0.001500000013038516
45,300279.2015000001,300279.2015,300279.2,0.001500000071246177,0.001500000013038516
46,297242.60150000005,297242.6015,297242.6,0.001500000071246177,0.001500000013038516
47,296951.0015000001,296951.0015,296951.0,0.001500000071246177,0.001500000013038516
48,297103.0015000001,297103.0015,297103.0,0.001500000071246177,0.001500000013038516
49,297003.2015000001,297003.2015,297003.2,0.001500000071246177,0.001500000013038516
50,296992.60150000005,296992.6015,296992.6,0.001500000071246177,0.001500000013038516
51,297605.80150000006,297605.8015,297605.8,0.001500000071246177,0.001500000013038516
52,324168.0015000001,324168.0015,324168.0,0.001500000071246177,0.001500000013038516
53,303413.80150000006,303413.8015,303413.8,0.001500000071246177,0.001500000013038516
54,296577.4015000001,296577.40150000004,296577.4,0.001500000071246177,0.001500000013038516
55,297295.0015000001,297295.0015,297295.0,0.001500000071246177,0.001500000013038516
56,296921.80150000006,296921.8015,296921.8,0.001500000071246177,0.001500000013038516
57,303056.2015000001,303056.2015,303056.2,0.001500000071246177,0.001500000013038516
58,296743.60150000005,296743.6015,296743.6,0.001500000071246177,0.001500000013038516
59,297665.80150000006,297665.8015,297665.8,0.001500000071246177,0.001500000013038516
60,296668.81150000007,296668.8115,296668.81,0.001500000071246177,0.001500000013038516
61,312192.60150000005,312192.6015,312192.6,0.001500000071246177,0.001500000013038516
62,297604.60150000005,297604.6015,297604.6,0.001500000071246177,0.001500000013038516
63,297600.2015000001,297600.2015,297600.2,0.001500000071246177,0.001500000013038516
64,311726.2015000001,311726.2015,311726.2,0.001500000071246177,0.001500000013038516
65,312019.2015000001,312019.2015,312019.2,0.001500000071246177,0.001500000013038516
66,296490.80150000006,296490.8015,296490.8,0.001500000071246177,0.001500000013038516
67,296508.60150000005,296508.6015,296508.6,0.001500000071246177,0.001500000013038516
68,297968.80150000006,297968.8015,297968.8,0.001500000071246177,0.001500000013038516
69,296512.60150000005,296512.6015,296512.6,0.001500000071246177,0.001500000013038516
